CodeL1,PCode,PlanName,Account1,Rate,UseYN
5102010199.102,P20,ค่าใช้จ่ายบุคลากรอื่น,ค่าใช้จ่ายด้านการฝึกอบรม - ในประเทศ (เงินนอกงบประมาณ),1.0,Yes
5102030199.101,P20,ค่าใช้จ่ายบุคลากรอื่น,ค่าใช้จ่ายด้านการฝึกอบรม -บุคคล ภายนอก (เงินงบประมาณ),1.0,Yes
5102030199.102,P20,ค่าใช้จ่ายบุคลากรอื่น,ค่าใช้จ่ายด้านการฝึกอบรม -บุคคล ภายนอก (เงินนอกงบประมาณ),1.0,Yes
5103010102.101,P21,ค่าใช้สอย,ค่าเบี้ยเลี้ยง-ในประเทศ (เงินงบประมาณ),1.0,Yes
5103010102.102,P21,ค่าใช้สอย,ค่าเบี้ยเลี้ยง-ในประเทศ (เงินนอกงบประมาณ),1.0,Yes
5103010103.101,P21,ค่าใช้สอย,ค่าที่พัก-ในประเทศ (เงินงบประมาณ),1.0,Yes
5103010103.102,P21,ค่าใช้สอย,ค่าที่พัก-ในประเทศ (เงินนอกงบประมาณ),1.0,Yes
5103010199.101,P21,ค่าใช้สอย,ค่าใช้จ่ายเดินทางอื่น -ในประเทศ (เงินงบประมาณ),1.0,Yes
5103010199.102,P21,ค่าใช้สอย,ค่าใช้จ่ายเดินทางอื่น -ในประเทศ (เงินนอกงบประมาณ),1.0,Yes
5104010104.101,P23,วัสดุใช้ไป,วัสดุสำนักงานใช้ไป,1.0,Yes
5104010104.102,P23,วัสดุใช้ไป,วัสดุยานพาหนะและขนส่งใช้ไป,1.0,Yes
5104010104.103,P23,วัสดุใช้ไป,วัสดุไฟฟ้าและวิทยุใช้ไป,1.0,Yes
5104010104.104,P23,วัสดุใช้ไป,วัสดุโฆษณาและเผยแพร่ใช้ไป,1.0,Yes
5104010104.105,P23,วัสดุใช้ไป,วัสดุคอมพิวเตอร์ใช้ไป,1.0,Yes
5104010104.106,P23,วัสดุใช้ไป,วัสดุงานบ้านงานครัวใช้ไป,1.0,Yes
5104010104.107,P23,วัสดุใช้ไป,วัสดุก่อสร้างใช้ไป,1.0,Yes
5104010104.108,P23,วัสดุใช้ไป,วัสดุอื่นใช้ไป,1.0,Yes
5104010104.109,P23,วัสดุใช้ไป,สินค้าใช้ไป,1.0,Yes
5104010107.101,P21,ค่าใช้สอย,ค่าซ่อมแซมอาคารและสิ่งปลูกสร้าง,1.0,Yes
5104010107.102,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์สำนักงาน,1.0,Yes
5104010107.103,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์ยานพาหนะและขนส่ง,1.0,Yes
5104010107.104,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์ไฟฟ้าและวิทยุ,1.0,Yes
5104010107.105,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์โฆษณาและเผยแพร่,1.0,Yes
5104010107.106,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์วิทยาศาสตร์และการแพทย์,1.0,Yes
5104010107.107,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์คอมพิวเตอร์,1.0,Yes
5104010107.108,P21,ค่าใช้สอย,ค่าซ่อมแซมครุภัณฑ์อื่น,1.0,Yes
